obsid next_obsid time timestop date datestop gui_ms manvr_angle one_shot roll_err point_err
17571 17154 557139739.3740001 557149881.7497194 2015:240:09:01:11.190 2015:240:11:50:13.566 DISA 90.85202661801617 3.245997667312622 5.3858197300631 0.4999724517131243
17154 17627 557151834.375 557166022.4256294 2015:240:12:22:46.191 2015:240:16:19:14.242 DISA 34.212813939651234 6.7894110679626465 3.3941490995501775 0.5779161336395475
17627 17148 557167217.576 557224401.303921 2015:240:16:39:09.392 2015:241:08:32:13.120 DISA 105.74811631988898 24.0413875579834 1.0267436617317127 0.5034505188788688
17148 51666 557226577.3790001 557246828.3051854 2015:241:09:08:29.195 2015:241:14:46:00.121 DISA 0.0 5.755690097808838 1.186372267538777 0.51665996101372
51665 51664 557249840.78 557254502.4806181 2015:241:15:36:12.596 2015:241:16:53:54.297 DISA 111.57180574900565 15.26378059387207 2.108817821317129 0.5851821684196284
51664 17157 557256745.181 557297137.3580221 2015:241:17:31:16.997 2015:242:04:44:29.174 DISA 14.846543339551568 9.3070068359375 0.8709780856879565 0.6459923391558682
17157 17445 557297970.683 557304712.1084491 2015:242:04:58:22.499 2015:242:06:50:43.924 DISA 32.984757510682044 9.231146812438965 0.6490053211527886 0.6253412200952863
17445 17528 557305887.784 557311348.9838234 2015:242:07:10:19.600 2015:242:08:41:20.800 DISA 65.49885380365325 9.40300464630127 1.1579688816858225 0.6054867493866468
17528 17613 557312960.284 557363054.0867387 2015:242:09:08:12.100 2015:242:23:03:05.903 DISA 75.66706754000361 17.693864822387695 0.7629748481544533 0.48976553774638687
17613 17700 557364821.187 557424992.7902311 2015:242:23:32:33.003 2015:243:16:15:24.606 DISA 80.33447961465514 28.622865676879883 1.062143243201786 0.5288103772943368
17700 17185 557426841.89 557441994.4661897 2015:243:16:46:13.706 2015:243:20:58:46.282 DISA 103.55345066828379 33.00448989868164 0.4428305290362831 0.3425420670849766
17185 51662 557444168.491 557475391.0180908 2015:243:21:35:00.307 2015:244:06:15:22.834 DISA 0.0 5.315854072570801 0.9322868041630226 0.5226817228403967
51661 51660 557477165.293 557481870.0434564 2015:244:06:44:57.109 2015:244:08:03:21.859 DISA 158.5624400327056 18.824865341186523 2.341765746023262 0.6003760277191947
51660 51659 557484746.194 557494915.2191924 2015:244:08:51:18.010 2015:244:11:40:47.035 DISA 95.12223817209747 22.1637020111084 1.8401222481338617 0.5649627845159159
51659 51658 557496968.294 557497613.0193447 2015:244:12:15:00.110 2015:244:12:25:44.835 DISA 95.1408511067176 48.8208122253418 0.981246366362171 0.6027622349098082
51658 51657 557499678.3939999 557514793.045314 2015:244:13:00:10.210 2015:244:17:12:04.861 DISA 111.86922284496923 6.318817138671875 4.662253143257525 1.0561719824197906
51657 18354 557517033.695 557527995.0460588 2015:244:17:49:25.511 2015:244:20:52:06.862 DISA 47.75447022168889 14.406907081604004 1.9644201017178553 0.48036991874772633
18354 17127 557529374.696 557560138.0228724 2015:244:21:15:06.512 2015:245:05:47:49.839 DISA 117.31870343077954 24.741634368896484 0.5219970509876007 0.5269868196514937
17127 16755 557562478.098 557641680.8774735 2015:245:06:26:49.914 2015:246:04:26:52.693 DISA 110.15230951088505 16.62375831604004 1.4969398476875828 0.3841484745740667
16755 17143 557643900.003 557664079.1787373 2015:246:05:03:51.819 2015:246:10:40:10.995 DISA 98.63914663658763 11.673521995544434 0.8482328991631942 0.47512756982172843
17143 17025 557666138.404 557693686.305408 2015:246:11:14:30.220 2015:246:18:53:38.121 DISA 110.92699068501754 28.76959800720215 0.7833359051225907 0.46677764792832543
17025 51655 557695953.606 557702896.9559277 2015:246:19:31:25.422 2015:246:21:27:08.772 DISA 0.0 6.178830623626709 1.1335045022792956 0.5246366122769067
51654 51653 557705633.706 557706501.8811312 2015:246:22:12:45.522 2015:246:22:27:13.697 DISA 178.58928396733782 4.01024866104126 1.3161946577676977 0.4193268700978872
51653 51652 557709618.906 557710813.0313745 2015:246:23:19:10.722 2015:246:23:39:04.847 DISA 53.27642250467029 10.245613098144531 1.724962907514865 0.5809020923248551
51652 51651 557712263.406 557713453.4315234 2015:247:00:03:15.222 2015:247:00:23:05.248 DISA 62.2924993357336 12.063342094421387 1.9742544860615328 0.37374745425171446
51651 51650 557715026.807 557720214.3319049 2015:247:00:49:18.623 2015:247:02:15:46.148 DISA 0.024344273214699855 1.7985057830810547 1.0057738908342242 0.4132948232794771
51650 51649 557720533.107 557740724.5830623 2015:247:02:21:04.923 2015:247:07:57:36.399 DISA 51.65903020347513 21.467161178588867 1.052553578816454 0.5896056997479368
51649 17128 557742181.108 557754557.983843 2015:247:08:21:52.924 2015:247:11:48:09.800 DISA 105.07898493903122 52.5287971496582 1.2024448253181361 0.4090181004765824
17128 17311 557756838.609 557882816.241081 2015:247:12:26:10.425 2015:248:23:25:48.057 DISA 27.682565223088073 4.990157604217529 0.781710773250496 0.4447293176651708
17311 51647 557883905.816 557933957.5939673 2015:248:23:43:57.632 2015:249:13:38:09.410 DISA 0.0 7.505223274230957 2.6185590454111622 0.4282581683844742
51646 51645 557936467.819 557942647.5444578 2015:249:14:19:59.635 2015:249:16:02:59.360 DISA 175.3553338840052 5.506607532501221 0.7647902969278448 0.4506484734502861
51645 51644 557945725.62 557948855.9698081 2015:249:16:54:17.436 2015:249:17:46:27.786 DISA 91.66870195321117 24.278573989868164 0.8202721103188436 0.35587785093998614
51644 51643 557950858.8199999 557954024.0200999 2015:249:18:19:50.636 2015:249:19:12:35.836 DISA 177.95414740829247 8.175687789916992 1.3298358303694993 0.5967899939348019
51643 51642 557957140.02 557972225.9711272 2015:249:20:04:31.836 2015:250:00:15:57.787 DISA 9.727987178976472 1.807550311088562 0.7838842691779674 0.4763341733480451
51642 17296 557972933.221 557982493.3967067 2015:250:00:27:45.037 2015:250:03:07:05.213 DISA 30.121722322323905 6.609478950500488 0.6141973447886082 0.34591263193402527
17296 16255 557983683.4219999 558034677.174652 2015:250:03:26:55.238 2015:250:17:36:48.991 DISA 87.1909182405142 30.346431732177734 1.6034102697088992 0.42742446498479575
16255 17297 558036626.725 558069770.1016327 2015:250:18:09:18.541 2015:251:03:21:41.918 DISA 87.7158185704903 19.467880249023438 1.4555801862017206 0.43096413892272917
17297 17524 558071710.4269999 558121869.8295735 2015:251:03:54:02.243 2015:251:17:50:01.646 DISA 138.56405182694337 18.058284759521484 0.8003596909746098 0.4178779384717683
51451 17198 565603739.642 565604794.3668911 2015:338:08:07:51.458 2015:338:08:25:26.183 DISA 19.375010069843995 3.94376802444458 2.0725058443013236 0.47836892272036763
